Item_ID,CANS_6_21_ID,CANS_0_5_ID,Item_Name ,Item_Abbr,Description,Rate_0,Rate_1,Rate_2,Rate_3,Rate_No,Rate_Yes,Rate_NA,Confidential_by_Default,Questions,Supplemental,0-5,6-21,Need,Strength,Background_Needs,Outcome_Malleable,Danger_Self,Danger_Others
11,11,,Living Situation,LIVING_SITUATION,"This item refers to how the child/youth is functioning in their current living arrangement, which could be with a relative, in a foster home, etc. This item should exclude respite, brief detention/jail, and brief medical and psychiatric hospitalization.",No current need; no need for action or intervention. No evidence of problem with functioning in current living environment. Child/youth and caregivers feel comfortable dealing with issues that come up in day-to-day life.,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth experiences mild problems with functioning in current living situation. Caregivers express some concern about child/youth's behavior in living situation, and/or child/youth and caregiver have some difficulty dealing with issues that arise in daily life. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth has moderate to severe problems with functioning in current living situation. Child/youth's difficulties in maintaining appropriate behavior in this setting are creating significant problems for others in the residence. Child/youth and caregivers have difficulty interacting effectively with each other much of the time. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth has profound problems with functioning in current living situation. Child/youth is at immediate risk of being removed from living situation due to problematic behaviors. ,,,,,How has the child/youth been behaving and getting along with others in the current living situation?,,,1,1,,,1,,
12,12,,Social Functioning,SOCIAL_FUNCTIONING,This item rates social skills and relationships. It includes age appropriate behavior and the ability to make and sustain relationships. Social functioning is different from Interpersonal (Strengths) in that functioning is a description of how the child/youth is doing currently. Strengths are longer-term assets.,No current need; no need for action or intervention. No evidence of problems and/or child/youth has developmentally appropriate social functioning ,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history or suspicion of problems in social relationships. Child/youth is having some difficulty interacting with others and building and/or maintaining relationships. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth is having some problems with social relationships that interfere with functioning in other life domains. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is experiencing significant disruptions in social relationships. Child/youth may have no friends or have constant conflict in relations with others, or have maladaptive relationships with others. The quality of the child/youth's social relationships presents imminent danger to the child/youth's safety, health, and/or development. ",,,,,"• How does the child/youth get along with others? 
• Do you feel that the child/youth can act appropriately in social settings?
",,,1,1,,,1,,
13,13,EC13,Developmental/Intellectual,DEVELOPMENTAL_INTELLECTUAL,"This item describes the child/youth's development as compared to standard developmental milestones, as well as rates the presence of any developmental or intellectual disabilities. It includes Intellectual Developmental Disorder (IDD) and Autism Spectrum Disorders. Rate the item depending on the significance of the disability and the related level of impairment in personal, social, family, school, or occupational functioning.",No current need; no need for action or intervention. No evidence of developmental delay and/or child/youth has no developmental problems or intellectual disability. ,"Identified need requires monitoring, watchful waiting, or preventive activities. There are concerns about possible developmental delay. Child/youth may have low IQ, a documented delay, or documented borderline intellectual disability (i.e. FSIQ 70-85). Mild deficits in adaptive functioning are indicated. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth has mild developmental delays (e.g., deficits in social functioning, inflexibility of behavior causing functional problems in one or more settings) and/or mild to moderate Intellectual Disability/Intellectual Disability Disorder. (If available, FSIQ 55-69.) IDD impacts communication, social functioning, daily living skills, judgment, and/or risk of manipulation by others. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth has severe to profound intellectual disability (FSIQ, if available, less than 55) and/or Autism Spectrum Disorder with marked to profound deficits in adaptive functioning in one or more areas: communication, social participation and independent living across multiple environments. ",,,,,"• Does the child/youth's growth and development seem healthy?
• Has the child/youth reached appropriate developmental milestones (such as walking, talking)?
• Has anyone ever mentioned that the child/youth may have developmental problems?
• Has the child/youth developed like other same age peers?
",,1,1,1,,,1,,
14,14,,Decision Making,DECISION_MAKING,This item describes the child/youth's age-appropriate decision making process and understanding of choices and consequences. ,No current need; no need for action or intervention. No evidence of problems with judgment or decision making that result in harm to development and/or well-being. ,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history or suspicion of problems with judgment in which the child/youth makes decisions that are in some way harmful to the child/youth's development and/or well-being. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Problems with judgment in which the youth makes decisions that are in some way harmful to the child/youth's development and/or well-being. As a result, more supervision is required than expected for the child/youth's age. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth makes decisions that would likely result in significant physical harm to self or others. Therefore, youth requires intense and constant supervision, over and above that expected for the child/youth's age. ",,,,,"• How is the child/youth's judgment and ability to make good decisions? 
• Does the child/youth typically make good choices?
",,,1,1,,,1,,
15,15,,School Behavior,SCHOOL_BEHAVIOR,This item rates the behavior of the child/youth in school or school-like settings. ,"No current need; no need for action or intervention. No evidence of behavioral problems at school, OR child/youth is behaving well in school. ","Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth is behaving adequately in school although some behavior problems exist. Behavior problems may be related to either relationship with either teachers or peers. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth's behavior problems are interfering with functioning at school. The child/youth is disruptive and may have received sanctions including suspensions. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is having severe problems with behavior in school. The child/youth is frequently or severely disruptive. School placement may be in jeopardy due to behavior. ,,,,,"• How is the child/youth behaving in school?
• Has the child/youth had any detentions or suspensions?
• Has the child/youth needed to go to an alternative placement?
",,,1,1,,,1,,
16,16,,School Achievement ,SCHOOL_ACHIEVEMENT,This item rates the child/youth's grades or level of academic achievement.,No current need; no need for action or intervention. No evidence of issues in school achievement and/or child/youth is doing well in school. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth is doing adequately in school although some problems with achievement exist. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth is having moderate problems with school achievement. The child/youth may be failing some subjects. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is having severe achievement problems. The child/youth may be failing most subjects or has been retained (held back) a grade level. Child/youth might be more than one year behind same-age peers in school achievement. ,,,,,"• How are the child/youth's grades?
• Is the child/youth having difficulty with any subjects?
• Is the child/youth at risk for failing any classes or repeating a grade?
",,,1,1,,,1,,
17,17,,School Attendance,SCHOOL_ATTENDANCE,"This items rates issues of attendance. If school is not in session, rate the last 30 days when school was in session.",No current need; no need for action or intervention. Child/youth attends school regularly.,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth has a history of attendance problems, OR child/youth has some attendance problems but generally goes to school. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth's problems with school attendance are interfering with academic progress. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is generally absent from school. ,,,,,"• Does the child/youth have any difficulty attending school?
• How many times a week is the child/youth absent?
• Once the child/youth arrives at school, does the youth stay for the rest of the day?
",,,1,1,,,1,,
18,18,EC14,Medical/Physical,MEDICAL_PHYSICAL,This rating describes both health problems and chronic/acute physical conditions or impediments.,"No current need; no need for action or intervention. No evidence that the child/youth has any medical or physical problems, and/or the child/youth is healthy. ","Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth has mild, transient or well-managed physical or medical problems. These include well-managed chronic conditions like juvenile diabetes or asthma. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth has serious medical or physical problems that require medical treatment or intervention. Or child/youth has a chronic illness or a physical challenge that requires ongoing medical intervention. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth has life-threatening illness or medical/physical condition. Immediate and/or intense action should be taken due to imminent danger to child/youth's safety, health, and/or development. ",,,,,"• Does the child/youth have anything that limits their physical activities?
• How much does this interfere with the child/youth's life?
",,,1,1,,,1,,
19,19,,Sexual Development,SEXUAL_DEVELOPMENT,"This item looks at broad issues of sexual development including developmentally inappropriate sexual behavior or sexual concerns, and the reactions of others to any of these factors. The child/youth's sexual orientation, gender identity or expression (SOGIE) could be rated here only if they are leading to difficulties. Sexually abusive behaviors are rated elsewhere. ",No current need; no need for action or intervention. No evidence of issues with sexual development. ,"Identified need requires monitoring, watchful waiting, or preventive activities. History or suspicion of problems with sexual development, but does not interfere with functioning in other life domains. May include the child/youth's concerns about sexual orientation, gender identity and expression (SOGIE), or anxiety about the reaction of others. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Moderate to serious problems with sexual development that interferes with the child/youth's life functioning in other life domains. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Severe problems with sexual development. This would include very frequent risky sexual behavior, sexual aggression, or victim of sexual exploitation. ",,,,,"• Are there concerns about the child/youth's healthy sexual development?
• Is the child/youth sexually active? 
• Does the child/youth have less/more interest in sex than other same age peers?
",,,1,1,,,1,,
20,20,EC09,Sleep,SLEEP,"This item rates the child/youth's sleep patterns. This item is used to describe any problems with sleep, regardless of the cause including difficulties falling asleep or staying asleep as well as sleeping too much. Both bedwetting and nightmares should be considered sleep issues.",No current need; no need for action or intervention. Child/youth gets a full night's sleep each night.,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth has some problems sleeping. Generally, child/youth gets a full night's sleep but at least once a week problems arise. This may include occasionally awakening or bed wetting or having nightmares.",Action or intervention is required to ensure that the identified need is addressed; need is interfering with child/youth's functioning. Child/youth is having problems with sleep. Sleep is often disrupted and child/youth seldom obtains a full night of sleep.,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is generally sleep deprived. Sleeping is almost always difficult and the child/youth is not able to get a full night's sleep.,,,,,"• Does the child/youth appear rested?
• Is the child/youth often sleepy during the day?
• Does the child/youth have frequent nightmares or difficulty sleeping?
• How many hours does the child/youth sleep each night?
",,1,1,1,,,1,,
21,21,,Suicide Risk,SUICIDE_RISK,This item is intended to describe the presence of thoughts or behaviors aimed at taking one's life. This rating describes both suicidal and significant self-injurious behavior. This item rates overt and covert thoughts and efforts on the part of a child or youth to end their life. A rating of '2' or '3' would indicate the need for a safety plan. Notice the specific time frames for each rating,No evidence of any needs. No evidence of suicidal ideation. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. History of suicidal ideation, but no recent ideation or gesture. History of suicidal behaviors or significant ideation but none during the recent past. ","Action or intervention is required to ensure that the identified need is addressed. Recent ideation or gesture. Recent, but not acute, suicidal ideation or gesture. ",Intensive and/or immediate action is required to address the need or risk behavior. Current ideation and intent OR command hallucinations that involve self-harm. Current suicidal ideation and intent. ,,,,,"• Has the child/youth ever talked about a wish or plan to die or to kill the themself? 
• Has the child/youth ever tried to commit suicide?
",,,1,1,,,1,1,
22,22,,Non-Suicidal Self-Injurious Behavior,SELF_INJURIOUS_BEHVIOR,"This rating includes repetitive, physically harmful behavior that generally serves as a self-soothing function to the child/youth (e.g., cutting, carving, burning self, face slapping, head banging, etc.).",No evidence of any needs. No evidence of any forms of self-injury. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. A history or suspicion of self-injurious behavior. ","Action or intervention is required to ensure that the identified need is addressed. Engaged in self-injurious behavior (cutting, burns, piercing skin with sharp objects, repeated head banging) that does not require medical attention. ","Intensive and/or immediate action is required to address the need or risk behavior. Engaged in self-injurious behavior requiring medical intervention (e.g., sutures, surgery) and that is significant enough to put the child/youth's health at risk. ",,,,,"• Does the behavior serve a self-soothing purpose (e.g., numb emotional pain, move the focus of emotional pain to the physical)?
• Does the child/youth ever purposely hurt themself (e.g., cutting)?
",,,1,1,,,1,1,
23,23,,Other Self-Harm (Recklessness),OTHER_SELF_HARM,"This rating includes reckless and dangerous behaviors that, while not intended to harm self or others, place the child/youth or others in some jeopardy. Suicidal or self-injurious behaviors are not rated here.",No evidence of any needs. No evidence of behaviors (other than suicide or self-mutilation) that place the child/youth at risk of physical harm. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. There is a history, suspicion or mild behavior (other than suicide or self-mutilation) that places child/youth at risk of physical harm such as reckless and dangerous risk-taking behavior. ",Action or intervention is required to ensure that the identified need is addressed. Engaged in reckless or intentional risk-taking behavior (other than suicide or self-mutilation) that places the youth in danger of physical harm. ,Intensive and/or immediate action is required to address the need or risk behavior. Engaged in reckless or intentional risk-taking behavior (other than suicide or self-mutilation) that places the child/youth at immediate risk of death. ,,,,,"• Does the child/youth act without thinking? 
• Has the child/youth ever talked about or acted in a way that might be dangerous to themself? (e.g., reckless behavior such as riding on top of cars, reckless driving, climbing bridges, etc.)?
",,,1,1,,,1,1,
24,24,,Danger to Others,DANGERS_TO_OTHERS,This item rates the child/youth's violent or aggressive behavior. The intention of this behavior is to cause significant bodily harm to others. A rating of '2' or '3' would indicate the need for a safety plan. Reckless behavior that may cause physical harm to others is not rated on this item.,No evidence of any needs. No evidence or history of aggressive behaviors or significant verbal threats of aggression towards others (including people and animals).,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. History of aggressive behavior or verbal threats of aggression towards others. History of fire setting would be rated here. ",Action or intervention is required to ensure that the identified need is addressed. Occasional or moderate level of aggression towards others. Youth has made verbal threats of violence towards others. ,"Intensive and/or immediate action is required to address the need or risk behavior. Acute homicidal ideation with a plan, frequent or dangerous (significant harm) level of aggression to others. Child/youth is an immediate risk to others. ",,,,,"• Has the child/youth ever injured another person on purpose?
• Does the child/youth get into physical fights?
• Has the child/youth ever threatened to kill or seriously injure others?
",,,1,1,,,1,,1
25,25,,Runaway,RUNAWAY,This item describes the risk of running away or actual runaway behavior.,No evidence of any needs. Child/youth has no history of running away or ideation of escaping from current living situation. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. Child/youth has no recent history of running away but has not expressed ideation about escaping current living situation. Child/youth may have threatened running away on one or more occasions or has a history of running away but not in the recent past. ",Action or intervention is required to ensure that the identified need is addressed. Child/youth has run from home once or run from one treatment setting. Also rated here is a child/youth who has runaway to home (parental or relative). ,Intensive and/or immediate action is required to address the need or risk behavior. Child/youth has run from home and/or treatment settings in the recent past and present an imminent flight risk. A child/youth who is currently a runaway is rated here. ,,,,,"• Has the child/youth ever run away from home, school, or any other place?
• If so, where did the child/youth go? How long did the child/youth stay away? How was the child/youth found?
• Does the child/youth ever threaten to run away?
",,,1,1,,,1,1,
26,26,,Sexual Aggression,SEXUAL_AGGRESSION,This item is intended to describe both aggressive sexual behavior and sexual behavior in which the child/youth takes advantage of a younger or less powerful individual. The severity and recency of the behavior provide the information needed to rate this item.,No evidence of any needs. No evidence of sexually aggressive behavior. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. History or suspicion of sexually aggressive behavior and/or sexually inappropriate behavior within the past year that troubles others such as harassing talk or public masturbation. ","Action or intervention is required to ensure that the identified need is addressed. Child/youth engages in sexually aggressive behavior that negatively impacts functioning. For example, frequent inappropriate sexual behavior (e.g., inappropriate touching of others). Frequent disrobing would be rated here only if it was sexually provocative. ",Intensive and/or immediate action is required to address the need or risk behavior. Child/youth engages in a dangerous level of sexually aggressive behavior. This would indicate the rape or sexual abuse of another person involving sexual penetration. ,,,,,"• Has the child/youth ever been accused of being sexually aggressive towards another child/youth?
• Has the child/youth had sexual contact with a younger individual?
",,,1,1,,,1,,1
